Japanese,Romaji,English
書,kaku,write
捜査,sousa,investigation
起こ,oko,happen
回,kai,times / turn
別,betsu,different
情報,jouhou,information
理由,riyuu,reason
数,kazu,number
一人,hitori,one person
部屋,heya,room
以上,ijou,more than / that's all
人生,jinsei,life
急,kyuu,hurry
食べ,tabe,eat
女性,josei,woman / female
続け,tsuzuke,continue
事件,jiken,incident
始め,hajime,start
最初,saisho,first
連絡,renraku,contact
まあ,maa,well / hmm
調べ,shirabe,investigate
安全,anzen,safe
下さ,kudasa,give (honorific)
楽し,tanoshi,enjoy
殺人,satsujin,murder
下,shita,down / under
万,man,ten thousand
友達,tomodachi,friend
約束,yakusoku,promise
二,ni,two
結婚,kekkon,marriage
無理,muri,impossible
感じ,kanji,feel
得,eru,gain / get
最高,saikou,best
送,okuru,send
計画,keikaku,plan
仲間,nakama,comrade
先,saki,ahead / tip
可能,kanou,possible
あと,ato,after / later
明日,ashita,tomorrow
変わ,kawa,change
聞こえ,kikoe,can hear
確認,kakunin,confirm
命,inochi,life
着,ki,wear / arrive
与え,atae,give
全員,zen'in,all members
動,ugoku,move
理解,rikai,understand
二人,futari,two people
開け,ake,open
友人,yuujin,friend
機,ki,machine / chance
不,fu,not
あげ,age,give
離れ,hanare,separate
戦,tatakai,war / battle
先生,sensei,teacher
言え,ie,can say
質問,shitsumon,question
置,oku,put
犯人,hannin,criminal
受け,uke,receive
感,kan,feeling
第,dai,No. / -th
伝え,tsutae,tell
素晴らし,subarashi,wonderful
ドア,doa,door
本,hon,book
乗,noru,ride
用,you,use
感謝,kansha,thanks
正し,tadashi,correct
言葉,kotoba,word / language
大,dai,big
立,tatsu,stand
写真,shashin,photo
２人,futari,2 people
説明,setsumei,explanation
博士,hakase,doctor
強,tsuyo,strong
絶対,zettai,absolutely
座,suwa,sit
国,kuni,country
向か,muka,face / go toward
名,na,name
ある,aru,there is
野郎,yarou,bastard
番,ban,number
一番,ichiban,number one
重要,juuyou,important
状況,joukyou,situation
元気,genki,energy / fine
水,mizu,water
変え,kae,change
十分,juubun,enough
週間,shuukan,week
やあ,yaa,hey
父親,chichioya,father
間違い,machigai,mistake
王,ou,king
了解,ryoukai,got it
相手,aite,partner
員,in,member
声,koe,voice
会え,ae,can meet
音,oto,sound
多く,ooku,many / much
消え,kie,disappear
会社,kaisha,company
簡単,kantan,simple
選,erabu,choose
残念,zannen,unfortunately
自由,jiyuu,freedom
自身,jishin,oneself
等,tou,etc.
一体,ittai,what on earth
人々,hitobito,people
報告,houkoku,report
読,yomu,read
過ぎ,sugi,past / exceed
通,tooru,pass
アメリカ,amerika,America
元,moto,original / former
命令,meirei,order
高,kou,high
体,karada,body
大統領,daitouryou,president
月,tsuki,month / moon
警官,keikan,police officer
語,go,language
学校,gakkou,school
対,tai,against
決め,kime,decide
真実,shinjitsu,truth
初めて,hajimete,first time
口,kuchi,mouth
大変,taihen,tough / very
要,you,need
変,hen,strange
戦争,sensou,war
学,gaku,study
あそこ,asoko,over there
武器,buki,weapon
店,mise,store
母親,hahaoya,mother
刑事,keiji,detective
気持ち,kimochi,feeling
間違,machiga,mistake
運,un,luck
記録,kiroku,record
光,hikari,light
手伝,tetsudau,help
深,fuka,deep
落ち着,ochitsuku,calm down
存在,sonzai,exist
実,jitsu,real / fruit
役,yaku,role
病院,byouin,hospital
住,sumu,live
責任,sekinin,responsibility
あっ,a,ah
普通,futsuu,normal
行動,koudou,action
大きな,ookina,big
監視,kanshi,surveillance
協力,kyouryoku,cooperation
多分,tabun,maybe
実際,jissai,actually
足,ashi,foot / leg
地球,chikyuu,earth
生活,seikatsu,life
任せ,makase,leave to
気分,kibun,mood
解決,kaiketsu,solve
結果,kekka,result
調査,chousa,investigation
研究,kenkyuu,research
何処,doko,where
発見,hakken,discovery
場,ba,place / scene
大事,daiji,important
止ま,toma,stop
興味,kyoumi,interest
大き,ooki,big
生,sei,life / birth
なあ,naa,hey
運転,unten,drive
ヶ月,kagetsu,months
多,oo,many
１人,hitori,1 person
番号,bangou,number
状態,joutai,condition
来い,koi,come (command)
開,hiraku,open
上手,jouzu,good at
済,sumu,settle
場合,baai,case
刑務,keimu,prison
今度,kondo,next time
以外,igai,except
朝,asa,morning
飛行,hikou,flight
あまり,amari,not much
近く,chikaku,near
後ろ,ushiro,behind
目的,mokuteki,purpose
歌,uta,song
面白,omoshiro,interesting
弁護,bengo,lawyer
客,kyaku,customer
売,uru,sell
特別,tokubetsu,special
昨日,kinou,yesterday
少な,sukun,few
認め,mitome,recognize
死体,shitai,dead body
医者,isha,doctor
装置,souchi,device
共,tomo,together
唯一,yuiitsu,only
あんな,anna,that kind of
不明,fumei,unknown
限り,kagiri,as far as
信用,shinyou,trust
美し,utsukushi,beautiful
用意,youi,preparation
話せ,hanase,can talk
移動,idou,move
映画,eiga,movie
美咲,misaki,Misaki (name)
取引,torihiki,deal
最近,saikin,recently
現場,genba,scene
事故,jiko,accident
連中,renchuu,group
過去,kako,past
全く,mattaku,not at all
選択,sentaku,choice
完全,kanzen,complete
信じ,shinji,believe
信頼,shinrai,trust
町,machi,town
何故,naze,why
始ま,hajima,start
精神,seishin,spirit
付け,tsuke,attach
女の子,onna no ko,girl
気づ,kizuku,notice
記憶,kioku,memory
頑張,ganbaru,do your best
2人,futari,2 people
素敵,suteki,wonderful
身,mi,body
価値,kachi,value
有,ari,exist
非常,hijou,emergency
三,san,three
最も,mottomo,most
両親,ryoushin,parents
人物,jinbutsu,person
生まれ,umare,born
警備,keibi,security
以前,izen,before
無事,buji,safe
聞け,kike,listen
決して,kesshite,never
銀行,ginkou,bank
馬鹿,baka,idiot
裁判,saiban,trial
降り,ori,get off
大学,daigaku,university
州,shuu,state
今回,konkai,this time
空,sora,sky
経験,keiken,experience
本物,honmono,real thing
部,bu,part / section
化,ka,change
未来,mirai,future
正直,shoujiki,honest
年間,nenkan,years
無駄,muda,waste
現れ,araware,appear
島,shima,island
病気,byouki,illness
内,uchi,inside
風,kaze,wind
結構,kekkou,fine / no need
治療,chiryou,treatment
予定,yotei,schedule
点,ten,point
許可,kyoka,permission
勇気,yuuki,courage
最悪,saiaku,worst
本気,honki,serious
全然,zenzen,not at all
任務,ninmu,mission
日本,nihon,Japan
作戦,sakusen,operation
成功,seikou,success
進,susumu,advance
近づ,chikazu,approach
品,shina,goods
消,kesu,disappear
小さな,chiisana,small
科学,kagaku,science
放,hanasu,release
向こう,mukou,over there
事実,jijitsu,fact
食,shoku,eat
関,kan,related
戦い,tatakai,fight
少年,shounen,boy
爆発,bakuhatsu,explosion
現実,genjitsu,reality
保護,hogo,protection
地下,chika,underground
隊,tai,squad
地,chi,ground / earth
別れ,wakare,parting
時代,jidai,era
使え,tsukae,can use
組織,soshiki,organization
式,shiki,ceremony
落ち着け,ochitsuke,calm down
動物,doubutsu,animal
無し,nashi,none
下が,saga,step down
技術,gijutsu,technology
個人,kojin,individual
期待,kitai,expectation
調子,choushi,condition
線,sen,line
局,kyoku,agency
利用,riyou,use
館,kan,hall / building
毎日,mainichi,every day
付,fu,attach
当然,touzen,of course
患者,kanja,patient
全,zen,all
今朝,kesa,this morning
過ご,sugo,spend
馬,uma,horse
あー,aa,ah
あたし,atashi,I (female)
立て,tate,stand up
地獄,jigoku,hell
合,au,fit / match
続,tsuzuku,continue
陛下,heika,majesty
小さ,chiisa,small
火,hi,fire
平気,heiki,fine / okay
世話,sewa,care
能力,nouryoku,ability
理子,riko,Riko (name)
検査,kensa,inspection
木,ki,tree
号,gou,number
山,yama,mountain
解,kai,solve
警部,keibu,inspector
食事,shokuji,meal
幸運,kouun,luck
構,kamau,mind / care
侵入,shinnyuu,break-in
駄目,dame,no good
緊急,kinkyuu,emergency
親父,oyaji,dad
気付,kizuku,notice
主,shu,main / lord
速,haya,fast
代わり,kawari,instead
休,kyuu,rest
原因,gen'in,cause
警告,keikoku,warning
山里,yamazato,Yamazato (name)
特に,tokuni,especially
部下,buka,subordinate
運命,unmei,fate
到着,touchaku,arrival
