Japanese,Romaji,English
絶対,suwa  ,sit  
座,kuni  ,country  
国,muka  ,face / go toward  
向か,na  ,name  
名,aru  ,there is  
ある,yarou  ,bastard  
野郎,ban  ,number  
番,ichiban  ,number one  
一番,juuyou  ,important  
重要,joukyou  ,situation  
状況,genki  ,energy / fine  
元気,mizu  ,water  
水,kae  ,change  
変え,juubun  ,enough  
十分,shuukan  ,week  
週間,yaa  ,hey  
やあ,chichioya  ,father  
父親,machigai  ,mistake  
王,ryoukai  ,got it  
相手,in  ,member  
員,koe  ,voice  
声,ae  ,can meet  
会え,oto  ,sound  
音,ooku  ,many / much  
多く,kie  ,disappear  
消え,kaisha  ,company  
会社,kantan  ,simple  
簡単,erabu  ,choose  
選,zannen  ,unfortunately  
残念,jiyuu  ,freedom  
自由,jishin  ,oneself  
自身,tou  ,etc.  
等,ittai  ,what on earth  
一体,hitobito  ,people  
人々,houkoku  ,report  
報告,yomu  ,read  
読,sugi  ,past / exceed  
過ぎ,tooru  ,pass  
通,amerika  ,America  
アメリカ,moto  ,original / former  
元,meirei  ,order  
命令,kou  ,high  
高,karada  ,body  
体,daitouryou  ,president  
大統領,tsuki  ,month / moon  
月,keikan  ,police officer  
警官,go  ,language  
学校,tai  ,against  
決め,shinjitsu  ,truth  
真実,hajimete  ,first time  
初めて,kuchi  ,mouth  
口,taihen  ,tough / very  
大変,you  ,need  
要,hen  ,strange  
変,sensou  ,war  
戦争,gaku  ,study  
学,asoko  ,over there  
あそこ,buki  ,weapon  
店,hahaoya  ,mother  
母親,keiji  ,detective  
刑事,kimochi  ,feeling  
気持ち,machiga  ,mistake  
間違,un  ,luck  
運,kiroku  ,record  
記録,hikari  ,light  
光,tetsudau  ,help  
手伝,fuka  ,deep  
深,ochitsuku  ,calm down  
落ち着,sonzai  ,exist  
存在,jitsu  ,real / fruit  
実,yaku  ,role  
役,byouin  ,hospital  
病院,sumu  ,live  
住,sekinin  ,responsibility  
責任,a  ,ah  
あっ,futsuu  ,normal  
普通,koudou  ,action  
行動,ookina  ,big  
大きな,kanshi  ,surveillance  
監視,kyouryoku  ,cooperation  
協力,tabun  ,maybe  
多分,jissai  ,actually  
実際,ashi  ,foot / leg  
地球,seikatsu  ,life  
生活,makase  ,leave to  
任せ,kibun  ,mood  
気分,kaiketsu  ,solve  
解決,kekka  ,result  
結果,chousa  ,investigation  
調査,kenkyuu  ,research  
何処,hakken  ,discovery  
発見,ba  ,place / scene  
場,daiji  ,important  
大事,toma  ,stop  
止ま,kyoumi  ,interest  
興味,ooki  ,big  
大き,sei  ,life / birth  
生,naa  ,hey  
なあ,unten  ,drive  
運転,kagetsu  ,months  
ヶ月,oo  ,many  
多,1-ri  ,1 person  
１人,bangou  ,number  
番号,joutai  ,condition  
状態,koi  ,come (command)  
来い,hiraku  ,open  
開,jouzu  ,good at  
上手,sumu  ,settle  
済,baai  ,case  
場合,keimu  ,prison  
刑務,kondo  ,next time  
今度,igai  ,except  
以外,asa  ,morning  
朝,hikou  ,flight  
飛行,amari  ,not much  
あまり,chikaku  ,near  
近く,ushiro  ,behind  
後ろ,mokuteki  ,purpose  
目的,uta  ,song  
面白,bengo  ,lawyer  
弁護,kyaku  ,customer  
客,uru  ,sell  
売,tokubetsu  ,special  
特別,kinou  ,yesterday  
昨日,sukun  ,few  
少な,mitome  ,recognize  
認め,shitai  ,dead body  
死体,isha  ,doctor  
医者,souchi  ,device  
装置,tomo  ,together  
共,yuiitsu  ,only  
唯一,anna  ,that kind of  
あんな,fumei  ,unknown  
不明,kagiri  ,as far as  
限り,shinyou  ,trust  
信用,utsukushi  ,beautiful  
美し,youi  ,preparation  
話せ,idou  ,move  
移動,eiga  ,movie  
映画,misaki  ,Misaki (name)  
美咲,torihiki  ,deal  
取引,saikin  ,recently  
最近,genba  ,scene  
現場,jiko  ,accident  
事故,renchuu  ,group  
連中,kako  ,past  
過去,mattaku  ,not at all  
全く,sentaku  ,choice  
選択,kanzen  ,complete  
完全,shinji  ,believe  
信じ,shinrai  ,trust  
信頼,machi  ,town  
何故,hajima  ,start  
始ま,seishin  ,spirit  
精神,tsuke  ,attach  
付け,ara  ,oh  
あら,onna no ko  ,girl  
女の子,kizuku  ,notice  
気づ,kioku  ,memory  
頑張,2-ri  ,2 people  
2人,suteki  ,wonderful  
素敵,mi  ,body  
身,kachi  ,value  
価値,ari  ,exist  
有,hijou  ,emergency  
非常,san  ,three  
三,mottomo  ,most  
最も,ryoushin  ,parents  
両親,jinbutsu  ,person  
生まれ,keibi  ,security  
警備,izen  ,before  
以前,buji  ,safe  
無事,kike  ,listen  
聞け,kesshite  ,never  
決して,ginkou  ,bank  
銀行,baka  ,idiot  
馬鹿,saiban  ,trial  
裁判,ori  ,get off  
大学,shuu  ,state  
今回,sora  ,sky  
空,keiken  ,experience  
本物,bu  ,part / section  
部,ka  ,change  
化,mirai  ,future  
未来,shoujiki  ,honest  
正直,nenkan  ,years  
年間,muda  ,waste  
無駄,araware  ,appear  
現れ,shima  ,island  
島,byouki  ,illness  
病気,uchi  ,inside  
内,kaze  ,wind  
風,kekkou  ,fine / no need  
治療,yotei  ,schedule  
予定,ten  ,point  
点,1-ri  ,1 person  
1人,kyoka  ,permission  
許可,yuuki  ,courage  
勇気,saiaku  ,worst  
最悪,honki  ,serious  
本気,zenzen  ,not at all  
全然,ninmu  ,mission  
任務,nihon  ,Japan  
日本,sakusen  ,operation  
作戦,seikou  ,success  
成功,susumu  ,advance  
進,chikazu  ,approach  
近づ,shina  ,goods  
品,kesu  ,disappear  
消,chiisana  ,small  
小さな,kagaku  ,science  
科学,hanasu  ,release  
放,mukou  ,over there  
向こう,jijitsu  ,fact  
事実,shoku  ,eat  
食,kan  ,related  
関,tatakai  ,fight  
戦い,shounen  ,boy  
少年,bakuhatsu  ,explosion  
爆発,genjitsu  ,reality  
現実,hogo  ,protection  
保護,chika  ,underground  
地下,tai  ,squad  
隊,chi  ,ground / earth  
地,wakare  ,parting  
別れ,jidai  ,era  
時代,tsukae  ,can use  
使え,soshiki  ,organization  
組織,shiki  ,ceremony  
式,ochitsuke  ,calm down  
落ち着け,doubutsu  ,animal  
動物,nashi  ,none  
無し,saga  ,step down  
下が,gijutsu  ,technology  
技術,kojin  ,individual  
個人,kitai  ,expectation  
期待,choushi  ,condition  
調子,sen  ,line  
線,kyoku  ,agency  
局,riyou  ,use  
利用,shujin  ,master  
主人,kan  ,hall / building  
館,mainichi  ,every day  
毎日,fu  ,attach  
付,touzen  ,of course  
当然,kanja  ,patient  
患者,zen  ,all  
今朝,sugo  ,spend  
過ご,uma  ,horse  
馬,aa  ,ah  
あー,atashi  ,I (female)  
あたし,tate  ,stand up  
立て,jigoku  ,hell  
地獄,:  ,:  
：,au  ,fit / match  
合,tsuzuku  ,continue  
続,heika  ,majesty  
陛下,chiisa  ,small  
平気,sewa  ,care  
能力,riko  ,Riko (name)  
理子,kensa  ,inspection  
アレックス,ki  ,tree  
木,gou  ,number  
号,yama  ,mountain  
山,kai  ,solve  
解,keibu  ,inspector  
警部,shokuji  ,meal  
食事,kouun  ,luck  
構,shinnyuu  ,break-in  
駄目,kinkyuu  ,emergency  
親父,kizuku  ,notice  
気付,shu  ,main / lord  
主,haya  ,fast  
速,kawari  ,instead  
代わり,kyuu  ,rest  
休,gen'in  ,cause  
原因,keikoku  ,warning  
警告,yamazato  ,Yamazato (name)  
山里,toku ni  ,especially  
特に,buka  ,subordinate  
部下,unmei  ,fate  
運命,touchaku,arrival  
